1,,,,,,,
54.5,68.5,102,76,51.75,40.25,40,41.5
52.5,55.75,74.5,103.25,113,87,58.75,54.75
49.75,59.25,80.5,108.25,108.25,79.25,54.25,52.75
52,69.25,92,116.5,106.5,69.5,50.25,51
56.5,74.5,98.75,118.25,97,57.75,48,49
59.5,77.25,98.75,102.75,79,49.25,45,44.75
60.75,77,95,89.25,63.5,44.25,43,43
61.5,77.25,91.25,77.5,51.75,42.25,41.5,42.25
63.5,81.75,87.5,67.75,46.5,42.25,40.75,43
58.5,65,85,106.25,114,92.75,62,57.25
58,67.5,89.25,108,111,87,59.75,55.25
57.25,64.25,89.25,98.75,107.5,67.25,53.5,50.5
53.25,62,75.75,93,82.5,56.25,46.25,47.75
53.5,65.75,75.5,90,73,50.5,43.75,44.25
57,72.75,79,91.5,65.5,47.75,43,44.25
64.5,86.5,88,98.25,59.25,46.75,43.5,44.5
74.25,92.25,98.25,88.25,53.75,45,43.25,43.75
63,76.5,92,109.25,111.75,91.25,59,55
70.75,84.25,101.25,112,109.75,78.5,56.5,53
74.5,87.25,107.5,113.5,99,61,50.5,49.75
73.75,82.5,102.25,93,77.25,47.5,45.75,46.75
70,81.75,88.25,77.75,56.75,42.75,42.5,43
68.25,74.5,76.5,59.75,45.25,40.75,41,41.25
64.5,72,64.75,50.25,41.75,40.25,39.25,41
65.75,67.5,57.75,45.75,41.25,39.5,39.5,40.5
65.75,76.25,101.25,109.25,104,67.75,55,51.5
63.75,79.75,102.75,103.5,87.5,55.5,50.75,48.5
64.25,83,104.5,100.5,69.75,46.75,45.75,46.25
64.25,78,99.5,75.75,53.75,41.75,42.5,44.25
60.25,70,74,58.75,43,39.5,39.5,40.5
57.5,68.75,66,51,40.5,39.25,38.5,39.75
56.5,65.75,60.75,45.5,39.75,38.75,37.75,39.5
54,61.25,55.5,43.25,39,37.75,37.25,39
54.5,61,81,102.5,105.75,88.25,55.25,51.5
54,65.25,89,111,105.25,83.25,54,50.5
56.75,75,99.25,119.75,105.25,78.5,50,50.75
63.75,81.5,110.25,118.25,106.5,71,48.5,49.5
68.25,84.25,112,118,94,60.25,46.25,45.25
69,82.75,108.5,105,80.75,49.75,43.75,43.75
68.25,77.75,102.75,87.75,65.5,43.75,41.25,42.25
67.75,71,90.25,67.5,52.25,40.25,39.75,40.25
53,59.75,74,99.5,117.5,107,68.75,57.5
56.25,62.5,81,107,118,102.5,66.5,56.25
58,66.5,87.75,113.5,118,95.75,60.75,54
59.25,69.5,93.25,118.25,118.5,86.75,55.5,51.75
61.75,73,95.25,118,108,73.5,50.25,47.75
65.25,77,96.25,112.25,92.75,59.75,46.75,45.75
69.25,76.75,96.75,98,77.75,47.75,43.75,44
67.75,72.25,91.25,80.25,60.75,41.75,41.25,41.25
53.5,60,73.25,104.75,120.5,108,71.75,58.5
56.5,66,84,115.25,119.5,102,66,56.75
61.75,72.75,96,119.75,120.5,93,59.5,54.5
64.75,73,103.75,118,119.5,76.25,54.25,50.75
61,70,97.5,110.25,94.75,57.75,47.25,45.25
57.75,66.75,91.75,92.5,72.75,45.5,42.75,42.5
56,66.5,86.5,77.75,55.25,41.25,40,41.5
56.5,67.5,81.75,60.25,45,39.25,38.75,39.75
48.75,48.75,59.75,94.75,113.25,104.5,73,60
47,53.5,70.75,109.5,115.75,101,70,57
50,68.5,92.25,119.5,119.25,82.75,58,53.25
61.5,84.5,110.25,118,105.25,57,48.75,48.75
71,86,112.25,93.5,66.75,43.5,43.75,42.75
70.5,84.75,94.5,60.5,45,40.75,40.5,40.5
69.75,81.25,74,46.25,41,39,38.25,39.75
68,74.25,56.5,43,41.5,37.25,37.25,36.75
66.75,94,118.25,110,85,55.25,49.75,46.75
79.5,112,113.5,73,50.25,46.75,46.75,45.5
93.5,96.75,65,51.75,42.5,41.25,42,43.75
87.25,80,48,45,39.75,39.25,40.5,42.75
75,68.5,44.75,43,39.25,39,39.25,40.25
67.25,64.75,44.25,42.5,38.75,39.25,39,39.75
65.5,63.25,44.75,41.25,39,38.5,38,39
67.75,62.25,45.75,41.25,38.75,37.5,36.5,37.75
62.5,79.25,102,119.25,107.75,85,51.75,48.5
77.25,107.75,123.75,123.5,102.25,85,52,50.5
106.25,124.5,121.5,119.75,101,80.75,52,52.25
122.25,122.75,119.75,118.25,93,74,52,52.5
124.75,122.75,119.75,113.75,81.5,70.75,52.25,51
126,121.5,115.5,97,78.75,67.5,54.25,51.75
116.75,111.75,100,87.25,73,62.25,53.5,51.25
